 datid | datname |  pid  | usesysid | usename | application_name | client_addr | client_hostname | client_port |         backend_start         |          xact_start           |          query_start          |         state_change          | wait_event_type |     wait_event      |        state        | backend_xid | backend_xmin |                                       query                                       |    backend_type     
 16384 | vandat  | 20531 |       10 | tcn     |                  | ::1         |                 |       53176 | 2019-11-01 20:31:27.336773+08 | 2019-11-01 20:43:54.178038+08 | 2019-11-01 20:43:54.178309+08 | 2019-11-01 20:43:54.17831+08  |                 |                     | active              |             |      5352680 | execute p_stocklevel2_8(33,10,3281,3261,33,18)                                 | client backend
 16384 | vandat  | 20530 |       10 | tcn     |                  | ::1         |                 |       53174 | 2019-11-01 20:31:27.336733+08 | 2019-11-01 20:43:54.215481+08 | 2019-11-01 20:43:54.227738+08 | 2019-11-01 20:43:54.22774+08  | IO              | DataFileWrite       | active              |     5352866 |      5352748 | execute p_new_order9_6(3299,5,41,1,16294,41,1,1,'dddddddddddddddddddddddd')    | client backend
 16384 | vandat  | 20532 |       10 | tcn     |                  | ::1         |                 |       53178 | 2019-11-01 20:31:27.337939+08 | 2019-11-01 20:43:54.228335+08 | 2019-11-01 20:43:54.228418+08 | 2019-11-01 20:43:54.22842+08  |                 |                     | active              |             |      5352748 | execute p_new_order1_3(99,8,987)                                               | client backend
 16384 | vandat  | 20533 |       10 | tcn     |                  | ::1         |                 |       53180 | 2019-11-01 20:31:27.339019+08 | 2019-11-01 20:43:54.19656+08  | 2019-11-01 20:43:54.228359+08 | 2019-11-01 20:43:54.228491+08 |                 |                     | idle in transaction |     5352826 |              | execute p_delivery2_1(2403,5,23)                                               | client backend
 16384 | vandat  | 20535 |       10 | tcn     |                  | ::1         |                 |       53184 | 2019-11-01 20:31:27.341529+08 | 2019-11-01 20:43:54.203192+08 | 2019-11-01 20:43:54.226163+08 | 2019-11-01 20:43:54.226165+08 |                 |                     | active              |     5352848 |      5352748 | execute p_new_order9_4(3313,10,86,5,92121,86,3,258,'rrrrrrrrrrrrrrrrrrrrrrrr') | client backend
 16384 | vandat  | 20534 |       10 | tcn     |                  | ::1         |                 |       53182 | 2019-11-01 20:31:27.341202+08 | 2019-11-01 20:43:54.221381+08 | 2019-11-01 20:43:54.221677+08 | 2019-11-01 20:43:54.226774+08 |                 |                     | idle in transaction |             |              | execute p_purge2_6(72,3,2425)                                                  | client backend
 16384 | vandat  | 20536 |       10 | tcn     |                  | ::1         |                 |       53186 | 2019-11-01 20:31:27.343433+08 | 2019-11-01 20:43:54.226671+08 | 2019-11-01 20:43:54.228232+08 | 2019-11-01 20:43:54.228496+08 |                 |                     | idle in transaction |     5352883 |              | execute p_new_order2_1(98,5)                                                   | client backend
 16384 | vandat  | 20537 |       10 | tcn     |                  | ::1         |                 |       53188 | 2019-11-01 20:31:27.344833+08 | 2019-11-01 20:43:54.21374+08  | 2019-11-01 20:43:54.227756+08 | 2019-11-01 20:43:54.227758+08 | IO              | DataFileRead        | active              |     5352863 |      5352748 | execute p_new_order9_6(3290,10,94,2,12457,94,2,112,'uuuuuuuuuuuuuuuuuuuuuuuu') | client backend
 16384 | vandat  | 20538 |       10 | tcn     |                  | ::1         |                 |       53190 | 2019-11-01 20:31:27.345248+08 | 2019-11-01 20:43:54.204248+08 | 2019-11-01 20:43:54.225678+08 | 2019-11-01 20:43:54.226071+08 |                 |                     | idle in transaction |     5352846 |              | execute p_new_order7_3_05(77697,11)                                            | client backend
 16384 | vandat  | 20539 |       10 | tcn     |                  | ::1         |                 |       53192 | 2019-11-01 20:31:27.347453+08 | 2019-11-01 20:43:54.195298+08 | 2019-11-01 20:43:54.228369+08 | 2019-11-01 20:43:54.228371+08 |                 |                     | active              |     5352825 |              | COMMIT                                                                         | client backend
 16384 | vandat  | 20540 |       10 | tcn     |                  | ::1         |                 |       53194 | 2019-11-01 20:31:27.3481+08   | 2019-11-01 20:43:54.225149+08 | 2019-11-01 20:43:54.228365+08 | 2019-11-01 20:43:54.228488+08 | IO              | DataFileRead        | idle in transaction |     5352879 |              | execute p_new_order6_7(22914)                                                  | client backend
 16384 | vandat  | 20541 |       10 | tcn     |                  | ::1         |                 |       53196 | 2019-11-01 20:31:27.34877+08  | 2019-11-01 20:43:54.22006+08  | 2019-11-01 20:43:54.22468+08  | 2019-11-01 20:43:54.224682+08 | IO              | DataFileRead        | active              |     5352872 |      5352748 | execute p_payment11_3(5,100,1216,5,100,5,'name-jozqx name-pmejs    ')          | client backend
 16384 | vandat  | 20542 |       10 | tcn     |                  | ::1         |                 |       53198 | 2019-11-01 20:31:27.351722+08 | 2019-11-01 20:43:54.211418+08 | 2019-11-01 20:43:54.227738+08 | 2019-11-01 20:43:54.22774+08  | IO              | DataFileRead        | active              |     5352856 |      5352748 | execute p_new_order9_6(3313,5,9,4,96990,9,5,48,'ssssssssssssssssssssssss')     | client backend
 16384 | vandat  | 20543 |       10 | tcn     |                  | ::1         |                 |       53200 | 2019-11-01 20:31:27.352177+08 | 2019-11-01 20:43:54.222562+08 | 2019-11-01 20:43:54.226991+08 | 2019-11-01 20:43:54.227196+08 | LWLock          | WALWriteLock        | idle in transaction |     5352876 |              | execute p_payment11_2(3,34,65,3,34,2233,'name-fjpsz name-rtaze    ')           | client backend
 16384 | vandat  | 20544 |       10 | tcn     |                  | ::1         |                 |       53202 | 2019-11-01 20:31:27.352854+08 | 2019-11-01 20:43:54.205467+08 | 2019-11-01 20:43:54.22736+08  | 2019-11-01 20:43:54.22801+08  |                 |                     | idle in transaction |     5352845 |              | execute p_delivery1_4(5,76)                                                    | client backend
